,Unnamed: 0,CM_candidates,L1,L2
173,173,చాలా heavyగా దురద వచ్చేసి ఎర్రగా కురుపులెక్క వస్తున్నాయి.,చాలా భారీగా దురద వచ్చేసి ఎర్రగా కురుపులెక్క వస్తున్నాయి.,Very itchy and red bumps.
174,174,"eneralగా ఇప్పుడు ointments creams వీళ్ళు ఇచ్చేవి ఏంటి అంటే temporaryగా ఆ పైన ఏదైతే fungal ఉంటుందో అది చనిపోతుంది, అప్పటికీ cover అవుతుంది.","సాధారణంగా ఇప్పుడు లేపనాలు క్రీములు వీళ్ళు ఇచ్చేవి ఏంటి అంటే తాత్కాలికంగా ఆ పైన ఏదైతే ఫంగల్ ఉంటుందో అది చనిపోతుంది, అప్పటికీ కవర్ అవుతుంది.",Usually what they give now are ointments creams that temporarily kill whatever fungus is on it and still cover it.
175,175,"but ఈ fungus ఏంటిది అంటే internalగా ఉంటుంది, దానికి surroundings ఏదైనా, so అది permanentగా తగ్గాలి అంటే మాత్రం compulsory internalగా treatment తీసుకోవాలి.","కానీ ఈ ఫంగస్ ఏంటిది అంటే అంతర్గతంగా ఉంటుంది, దాని పరిసరాలు ఏదైనా, కాబట్టి అది శాశ్వతంగా తగ్గాలి అంటే మాత్రం తప్పనిసరిగా అంతర్గతంగా చికిత్స తీసుకోవాలి.","But this fungus is internal, whatever its environment, so it must be treated internally if it is to be permanently reduced."
176,176,చెప్పండి sir ఏం problem ఉంది,చెప్పండి సార్ ఏం సమస్య ఉంది,Tell me sir what is the problem
177,177,ఇంట్లో ఒక 2 years నుంచి psoriasis problem ఉంది sir,ఇంట్లో ఒక 2 సంవత్సరాల నుంచి సోరియాసిస్ సమస్య ఉంది సార్,There is a problem of psoriasis at home since 2 years sir
178,178,"only కాళ్ళకి, వెళ్ళ మధ్యలో వస్తుంది sir.","మాత్రమే కాళ్ళకి, మధ్యలోకి వస్తుంది సార్.","Only to the legs, it comes in the middle, sir."
179,179,treatment ఏమైనా తీసుకుంటున్నారా? ointments అలాంటివి వాడుతున్నారా అండి?,చికిత్స ఏమైనా తీసుకుంటున్నారా? లేపనాలు అలాంటివి వాడుతున్నారా అండి?,Are you receiving any treatment? Do you use ointments like that?
180,180,బయట ఒక 6 months back అయితే తీసుకున్నాము,బయట ఒక 6 నెలల క్రితం అయితే తీసుకున్నాము,We took it out about 6 months ago
181,181,course తీసుకున్నాక కొంచం recovery అయింది తర్వాత నుంచి మళ్ళి start అయితుంది,కోర్సు తీసుకున్నాక కొంచం రికవరీ అయింది తర్వాత నుంచి మళ్ళి స్టార్ట్ అయితుంది,"After taking the course, there was a little recovery and after that it started again"
182,182,ఏం problem ఉంది?,ఏం సమస్య ఉంది?,What's the problem?
183,183,నమస్కారం doctor గారు,నమస్కారం వైద్యుడు గారు,Hello Doctor
184,184,అంటే పెద్ద పెద్ద patches ఉంటాయా అండి?,అంటే పెద్ద పెద్ద పాచెస్ ఉంటాయా అండి?,Does that mean there will be large patches?
185,185,లేకపోతే మొత్తం body అనేది దాంట్లోనే cover అయి ఉంటదా?,లేకపోతే మొత్తం శరీరం అనేది దాంట్లోనే కవర్ అయి ఉంటుందా?,Otherwise the whole body is covered by it?
186,186,ఆ మొత్తం body మీద వీపు మీద అక్కడ ఉంటాయి sir అది,ఆ మొత్తం శరీరం మీద వీపు మీద అక్కడ ఉంటాయి సార్ అది,Sir it is there on the back on the whole body
187,187,దురద అంటే ఏదైనా food items తీసుకున్నప్పుడు వస్తది అండి.,దురద అంటే ఏదైనా ఆహార పదార్థాలు తీసుకున్నప్పుడు వస్తది అండి.,Itching is when you eat any food.
188,188,actualగా ఏంటి అంటే english మందులు అన్నీ వాడాను sir,అసలు ఏంటి అంటే ఆంగ్ల  మందులు అన్నీ వాడాను సార్,"Actually, I used all the English medicines, sir"
189,189,homeo కూడా వాడను sir,హోమియోపతి కూడా వాడను సార్,I don't even use homeopathy sir
190,190,local homeo ఉంటది కదా అండి.,స్థానిక హోమియోపతి ఉంటది కదా అండి.,Is there local homeopathy?
191,191,అది సీతాకాలం 2 3 months నుంచి బాగా బీభత్సంగా వస్తుంది అండి body మీద.,అది సీతాకాలం 2 3 నెలల నుంచి బాగా బీభత్సంగా వస్తుంది అండి శరీరం మీద.,It comes on the body from 2 to 3 months of winter.
192,192,start ఎప్పుడు అయింది అండి?,మొదలు ఎప్పుడు అయింది?,When did it start?
193,193,ఇది start ఎప్పుడు అయింది అండి? ఎప్పుడు మొదలైంది?,ఇది ప్రారంభం ఎప్పుడు అయింది అండి? ఎప్పుడు మొదలైంది?,When did it start? When did it start?
194,194,ఇది start అయి ఒక 1 year అవుతుంది అండి.,ఇది ప్రారంభం అయి ఒక 1 సంవత్సరం అవుతుంది.,It will be 1 year since its inception.
195,195,"అది medicine వాడుతున్నాను అండి, ఎమి change ఎమి కనబడడంలేదు","అది మెడిసిన్ వాడుతున్నాను అండి, ఎమి మార్పు ఎమి కనబడడంలేదు","I am using medicine, but I am not seeing any change"
196,196,"ఇది నేను చెప్పింది, scalpలో start అవుతుందండి, తల నుంచి start అవ్వడం జరుగుతది అని చెప్పాను కదా","ఇది నేను చెప్పింది, నెత్తిమీద మొదలవుతుంది, తల నుంచి ప్రారంభం అవ్వడం జరుగుతుందని చెప్పాను కదా","This is what I said, it starts at the scalp, didn't I say that it starts from the head"
197,197,అలాగే మీకు start అయింది,అలాగే మీకు ప్రారంభం అయింది,And you have a start
198,198,and ఇది వచ్చేసిన తరువాత body మీద కూడా develop అవ్వడం జరుగుతది specially in the winter seasons అన్నమాట,మరియు ఇది వచ్చేసిన తరువాత శరీరం మీద కూడా అభివృద్ధి అవ్వడం జరుగుతది ప్రత్యేకంగా శీతాకాలపు సీజన్లలో అన్నమాట,And after it comes it also develops on the body especially in winter seasons
199,199,"అది ఆ type వస్తుంది sir, వొళ్ళంతా వస్తుంది sir.","అది ఆ రకం వస్తుంది సార్, వొళ్ళంతా వస్తుంది సార్.","It will come that way, sir, all of them will come, sir."
200,200,start ఎప్పుడు అయింది అండి?,మొదలు ఎప్పుడు అయింది?,When did it start?
201,201,ఇది start అయి ఒక 1 year అవుతుంది అండి.,ఇది ప్రారంభం అయి ఒక 1 సంవత్సరం అవుతుంది.,It will be 1 year since its inception.
202,202,"అది medicine వాడుతున్నాను అండి, ఎమి change ఎమి కనబడడంలేదు","అది మెడిసిన్ వాడుతున్నాను అండి, ఎమి మార్పు ఎమి కనబడడంలేదు","I am using medicine, but I am not seeing any change"
203,203,ok ok చెప్తానండీ,సరే సరే చెప్తానండీ,"Okay, I'll tell you"
204,204,and ఇది వచ్చేసిన తరువాత body మీద కూడా develop అవ్వడం జరుగుతది specially in the winter seasons అన్నమాట,మరియు ఇది వచ్చేసిన తరువాత శరీరం మీద కూడా అభివృద్ధి అవ్వడం జరుగుతది ప్రత్యేకంగా శీతాకాలపు సీజన్లలో అన్నమాట,And after it comes it also develops on the body especially in winter seasons
205,205,winter అంటే చలి ఉన్నప్పుడు మనకు dryness అనేది ఎక్కువ ఉండడం జరుగుతది అన్నమాట. skin కూడా పగులుతది,శీతాకాలం అంటే చలి ఉన్నప్పుడు మనకు డ్రైనెస్ అనేది ఎక్కువగా జరుగుతది అన్నమాట. చర్మం కూడా పగులుతది,"It is said that when winter is cold, dryness is more likely to happen to us. The skin is also brittle"
206,206,చెప్పండి sir Karim Ullah గారు,చెప్పండి సార్ కరీం అల్లాహ్ గారు,Tell me Sir Karim Allah
207,207,sir నాకు skin problem ఉంది sir,సార్ నాకు చర్మ సమస్య ఉంది సార్,Sir I have skin problem sir
208,208,నేను skin doctor గారి దెగ్గరకు చూపించాను,నేను చర్మ వైద్యుడు గారి దెగ్గరకు చూపించాను,I was referred to a dermatologist
209,209,"sir ఇప్పుడు నాకు psoriasis వొచింది నాకు మొదట psoriasis తగ్గిపోయింది, sir allergy వచ్చింది body అంతా","సార్ ఇప్పుడు నాకు సోరియాసిస్ వొచింది నాకు మొదట సోరియాసిస్ తగ్గిపోయింది, సర్ అలెర్జీ వచ్చింది","Sir now I have got psoriasis, at first my psoriasis subsided, sir I got allergy"
210,210,psoriasis ఇవాళ తగ్గిపోయింది అని చెప్పారండీ ఈ homeopathy doctor,సోరియాసిస్ ఇవాళ తగ్గిపోయింది అని చెప్పారండీ ఈ హోమియోపతి డాక్టర్,This homeopathic doctor said that psoriasis has reduced today
211,211,ramu గారు మీ age ఎంత అండి?,రాము గారు మీ వయసు ఎంత అండి?,Ramu garu how old are you?
212,212,sir మీకు normalగా food అవన్నీ correctగా తీసుకుంటారా timeకి?,సార్ మీకు సాధారణంగా ఆహరం అవన్నీ సరిగా తీసుకుంటారా?,Sir do you usually take all the food properly?
213,213,"time అంటే officeలో ఉంట madam actualగా నేను, accountantగా work చేస్తాను","సమయం అంటే ఆఫీసులో ఉంటాడు మేడమ్ అసలు నేను, ఖాతాదారిగా పని చేస్తాను","Time is in the office, madam, actually I work as an account manager"
214,214,recentగా fever ఏమైనా వచ్చాయా అండి?,ఇటీవల జ్వరం ఏమైనా వచ్చాయా అండి?,Have you had any fever recently?
215,215,లేదు madam,లేదు మేడమ్,No ma'am
216,216,sir అది నాకు already ఒక 1 year నుంచి head మీద dandruff లాగా వచ్చింది sir,సార్ అది నాకు ఇప్పటికే ఒక 1 సంవత్సరం నుంచి తల మీద చుండ్రు లాగా వచ్చింది సార్,Sir it is like dandruff on my head since 1 year already
217,217,అయితే నేను అది dandruff ఎమో అనేసి lite తీసుకున్నాను,అయితే నేను అది చుండ్రు ఎమో అనేసి లైట్ తీసుకున్నాను,But I took it lightly saying it was dandruff emo
218,218,"తరువాత ఈ మధ్య recently నేను normal clinicకి వెళ్ళి చూపిస్తే medicine ఇచ్చారు, ఆ medicine ని వాడటం జరిగింది","తరువాత ఈ మధ్య ఈ మధ్యనే నేను నార్మల్ క్లినిక్ కి వెళ్ళి చూపిస్తే మందు ఇచ్చారు, ఆ మెడిసిన్ ని వాడటం జరిగింది","Later, recently, I went to the normal clinic and they gave me medicine, and I started using that medicine"
219,219,అది medicine వాడినన్నీ రోజులే clear అయితుంది,అది మెడిసిన్ వాడినన్ని రోజులే స్పష్టం అయితుంది,It becomes clear after using the medicine
220,220,తరువాత నేను Kukatpally ayurvedic centerకి వెళ్ళాను,తరువాత నేను కూకట్పల్లి ఆయుర్వేదిక్ సెంటర్ కి  వెళ్ళాను,Later I went to Kukatpally Ayurvedic Centre
221,221,"present వాడుతున్నాను కానీ వాళ్ళు 6 months, 7 months వాడండి అని చెప్తున్నారు","ప్రస్తుతం వాడుతున్నాను కానీ వాళ్ళు 6 నెలలు, 7 నెలలు వాడండి అని చెప్తున్నారు",I am using it now but they say to use it for 6 months or 7 months
222,222,"ఒక ప్రశ్న అండి, doctorగారు examine చేసి dandruff అన్నారా?","ఒక ప్రశ్న అండి, వైద్యుడుగారు పరిశిలన చేసి చుండ్రు అన్నారా?","Asking a question, the doctor pondered and said dandruff?"
223,223,మా doctor ఏమన్నారంటే 1 year medicines వాడాలి sir అన్నారు,మా వైద్యుడు ఏమన్నారంటే 1 సంవత్సరం మందులు వాడాలి సార్ అన్నారు,What our doctor said is that we should use medicine for 1 year sir
224,224,right అండి.,అవును అండి.,Yes come on.
225,225,కొన్ని youtube videos చూస్తే అది life long ఉంటది scalp psoriasis అని,కొన్ని యూట్యూబ్ వీడియోలు చూస్తే జీవిత కాలం ఉంటది స్కాల్ప్ సోరియాసిస్అ ని,"If you watch some YouTube videos, you will have a lifetime of scalp psoriasis"
226,226,దీనిని sinusitis అంటారు అమ్మా.,దీనిని సైనసైటిస్ అంటారు అమ్మ.,This is called sinusitis.
227,227,age 70 ఉంటాయి sir,వయసు 70 సర్,Age 70 sir
228,228,problem ఏంటి?,సమస్య ఏంటి?,what is the problem
229,229,"ఆ, bp sugar ఉంది","ఆ, bp షుగర్ ఉంది","That, bp is sugar"
230,230,ఇది అన్నీ pain వస్తాయి sir,ఇది అన్నీ నొప్పి వస్తాయి సార్,"It's all going to hurt, sir"
231,231,ఇటు side అంతా నొప్పి ఉంది sir.,ఇటు వైపు అంతా నొప్పి ఉంది సార్.,"There is pain all over this side, sir."
232,232,నేను tabletలు రాసి ఇస్తా,నేను మాత్రలు రాసి ఇస్తా,I will prescribe the pills
233,233,"report 4, 5 రోజులకి ఇస్తాడు.","నివేదిక 4, 5 రోజులకి ఇస్తాడు.",The report will be given in 4-5 days.
234,234,"నొప్పి, లోపట earbuds పెడితే నొప్పిలేస్తాంది sir.","నొప్పి, లోపట ఇయర్‌బడ్స్ పెడితే నొప్పిలేస్తుంది సార్.","Pain, if you put earbuds inside, it hurts sir."
235,235,same మందులు ఇంకో 3 days కి వేస్కో.,అదే మందులు ఇంకో 3 రోజులు కి వేస్కో.,Take the same medicine for another 3 days.
236,236,ఇదే ఇంత powerful వద్దు.,ఇదే ఇంత శక్తివంతమైన వద్దు.,This is not so powerful.
237,237,దగ్గొస్తాంది sir.,దగ్గొస్తంది సార్.,Cough sir.
238,238,cough వస్తుంది.,దగ్గు వస్తుంది.,Cough occurs.
239,239,night బాగా వస్తాంది sir,రాత్రి బాగా వస్తాంది సార్,Good night sir
240,240,regularగా tablets వాడండి.,రెగ్యులర్గా మాత్రలు వాడండి.,Use the pills regularly.
241,241,"allergy అమ్మా, infection కాదు.","అలెర్జీ అమ్మ, ఇన్ఫెక్షన్ కాదు.","Allergy mom, not infection."
242,242,అలాగే sir tablets వాడుతాను.,అలాగే సార్ మాత్రలు వాడతాను.,I also use pills sir.
243,243,"ce cream, cool drinks, chocolates తీసుకోవద్దు.","ఐస్ క్రీమ్, శీతల పానీయాలు, చాక్లెట్లు తీసుకోవద్దు.","Do not take ice cream, soft drinks, chocolates."
244,244,ok రాస్తున్నా.,అలాగే రాస్తున్నా.,Also writing.
245,245,జలుబు అంటే frequentగా వస్తుంది అండి.,జలుబు అంటే తరచుగా వస్తుంది అండి.,Colds are frequent.
246,246,nightకి ఈ side మొత్తం శ్వాస ఆడనట్లు అయింది అండి.,రాత్రికి ఈ వైపు మొత్తం శ్వాస ఆడనట్లు అయింది.,The whole side of the night was breathless.
247,247,ఊరికే జలుబు చేస్తున్నట్లు అయి nose తోనే voice వస్తుంది.,ఊరికే జలుబు అయి ముక్కు తోనే వాయిస్ వస్తుంది.,It's just a cold and the voice comes through the nose.
248,248,ఆ ఈ మధ్య 2 days అయితుంది.,ఆ ఈ మధ్య 2 రోజులు అయితుంది.,It's been 2 days now.
249,249,"nose block అయినట్లు, 1 month నుంచి ఇలానే వస్తుంది sir, voice.","ముక్కు బ్లాక్ అయినట్లు, 1 నెల నుంచి ఇలానే వస్తుంది సార్, గొంతు.","As if the nose is blocked, like this since 1 month sir, throat."
250,250,last week fever కూడా వచ్చింది.,గత వారం జ్వరం కూడా వచ్చింది.,Also got fever last week.
251,251,ఇది allergic అంటారు దీని.,ఇది అలెర్జీ అంటారు.,This is called allergy.
252,252,కొంచం bone కూడా mildగా bend అయి ఉంది కానీ అది ఏం problem కాదు.,కొంచం ఎముక కూడా కొంచెంగా వంకర అయి ఉంది కానీ అది ఏం సమస్య కాదు.,A bit of the bone is also a bit crooked but that's not a problem.
253,253,ఒక one month నుంచి voice ఇలానే ఉంటుంది sir.,ఒక నెల నుంచి వాయిస్ ఇలానే ఉంటుంది సార్.,The voice is the same since one month sir.
254,254,fever కూడా దానివల్లే వచ్చిందంటారా sir?,జ్వరం దానివల్లే వచ్చిందంటారా సార్?,"Do you think the fever is due to that, sir?"
255,255,antibiotic use చేయాలా sir?,యాంటీబయాటిక్ వాడాలా సార్?,Antibiotic should be used sir?
256,256,"అవును sir అప్పుడు తగ్గిపోయింది, fever తగ్గిపోయింది.","అవును సర్ అప్పుడు తగ్గిపోయింది, జ్వరం తగ్గిపోయింది.","Yes sir then it subsided, the fever subsided."
257,257,చిన్నగా throat నొప్పి ఉండే.,చిన్నగా గొంతు నొప్పి ఉంటే.,If you have a slight sore throat.
258,258,"just ఈ voice ఏ normal ఇంకా, ఎప్పుడు జలుబు ఉన్నట్లే ఇట్లనే వస్తుంది.","కేవలం ఈ గొంతు ఏ మామూలు ఇంకా, ఎప్పుడు జలుబు ఉన్నట్లే ఇట్లనే వస్తుంది.",It's just that this voice always comes like this when you have a cold.
259,259,ఈ bone దెగ్గర ఇట్ల నొక్కితే,ఈ ఎముక దెగ్గర ఇట్ల అవసరం,This bone height is necessary
260,260,ఎప్పుడన్నా bone దగ్గర నొక్కితే lightగా pain sir sensation ఉంది.,ఎప్పుడన్నా ఎముక దగ్గర ఉంటే తేలికగా నొప్పి ఉంది సార్ సంచలనం.,"Any time near the bone, there is mild pain, sir. Sensation."
261,261,and అప్పట్లో ఇలా నొక్కితే కొంచం yellowగా వచ్చింది,మరియు అప్పట్లో ఇలా చేస్తే కొంచం పసుపు రంగు వచ్చింది,And doing this back then gave it a slight yellow color
262,262,లోపల infection కొంచం బయటికి వచ్చినట్లు.,లోపల ఇన్ఫెక్షన్ కొంచం బయటికి వచ్చినట్లు.,As if the infection inside had come out a little.
263,263,ఏ syrup వాడినా tablets వాడినా జలుబు తగ్గట్లే.,ఏ సిరప్ వాడినా మాత్రలు వాడినా జలుబు తగ్గట్లే.,"No matter what syrup you use, whether you use pills, it will reduce the cold."
264,264,tablets and ముక్కులో మందే వాడాము.,మాత్రలు మరియు ముక్కులో మందే వాడాము.,We used tablets and nasal drops.
265,265,నేను ఇంతకుముందు మీ దెగ్గర operation కూడా చేయించుకున్నా.,నేను ఇంతకుముందు మీ దెగ్గర ఆపరేషన్ కూడా చేయించుకున్నా.,I have also undergone your Deggara operation earlier.
266,266,గొంతు operation చేసారు sir.,గొంతు ఆపరేషన్ చేసారు సార్.,Throat operation done sir.
267,267,ఇది 2 days back వచ్చాను sir.,ఇది 2 రోజుల క్రితం వచ్చాను సార్.,It came 2 days ago sir.
268,268,spray కొట్టుకున్న తరువాత ఒక nasal block అవుతుంది sir.,స్ప్రే కొట్టుకున్న తరువాత ఒక నాసికా బ్లాక్ అవుతుంది సార్.,A nasal block after hitting the spray sir.
269,269,ఒక nasal free అవుతుంది sir.,ఒక నాసల్ ఫ్రీ అవుతుంది సార్.,One nasal will be free sir.
270,270,day by day ఇట్ల అవుతుంది.,రోజు రోజుకి ఇట్ల అవుతుంది.,This is happening day by day.
271,271,"కొంచం breathing, 80 percent sneezing తక్కువ అయింది.","కొంచం శ్వాస, 80 శాతం తుమ్ము తక్కువ అయింది.",Slight breathing and 80 percent less sneezing.
272,272,"ఇట్ల ఆ first day నొప్పి ఉంది sir, medicine వాడాను మంచిగా","ఇట్ల ఆ మొదటి రోజు నొప్పి ఉంది సార్, మందు వాడాను మంచిగా","There was pain on that first day sir, I used medicine for good"
273,273,నొప్పి తగ్గింది sir,నొప్పి తగ్గింది సార్,The pain has subsided sir
274,274,"ఇట్ల ఆ first day నొప్పి ఉంది sir, medicine వాడాను మంచిగా","ఇట్ల ఆ మొదటి రోజు నొప్పి ఉంది సార్, మందు వాడాను మంచిగా","There was pain on that first day sir, I used medicine for good"
275,275,ఒక్కటే tablet రాసి ఇస్తా.,ఒక్కటే మాత్ర రాసి ఇస్తా.,Only one pill will be prescribed.
276,276,చీము అసలు ఎమి రావడంలేదు sir కాకపోతే daily ఓ earbud పెట్టనిది నిద్ర పట్టదు sir.,చీము అసలు ఏమి రావడంలేదు సార్ కాకపోతే రోజూ ఓ ఇయర్‌బడ్ పెట్టనిది నిద్ర పట్టదు సార్.,"The pus is not coming out, sir, if not, you can't sleep if you don't put an earbud every day."
277,277,బాగా దురద పెడుతుంది sir.,బాగా దురద పెడుతుంది సార్.,Very itchy sir.
278,278,sound వినపడుతుంది sir.,ధ్వని వినపడుతుంది సార్.,The sound is heard sir.
279,279,దీనిని fungus infection అంటారు.,దీనిని ఫంగస్ ఇన్ఫెక్షన్ అంటారు.,This is called a fungal infection.
280,280,earbud పెట్టుకోని నిద్ర పోవొద్దా sir?,ఇయర్‌బడ్ పెట్టుకొని నిద్ర పోవొద్దా సార్?,Don't sleep with earbud on sir?
281,281,thyroid అంటే నీకు ఏమి problem?,థైరాయిడ్ అంటే నీకు ఏమి సమస్య?,What is your thyroid problem?
282,282,ఇది వాడిన తరువాత ఇది normal వచ్చింది.,ఇది వాడిన తరువాత ఇది మామూలుగా వచ్చింది.,After using it it came back normal.
283,283,ఇదొక్కటే problem ఉంది.,ఇదొక్కటే సమస్య.,This is the only problem.
284,284,early moring పొడి దగ్గు,ఉదయాన్నే పొడి దగ్గు,Dry cough in the morning
285,285,కొంచం గొంతు infection ఉంది.,కొంచం గొంతు ఇన్ఫెక్షన్ ఉంది.,Had a slight throat infection.
286,286,lungs  clearగానే ఉన్నాయి,ఊపిరితిత్తులు స్పష్టంగా ఉన్నాయి,Lungs are clear
287,287,sir ఈ మందులు 1 month వాడిన sir.,సార్ ఈ మందులు 1 నెల వాడిన సార్.,"Sir, I used this medicine for 1 month."
288,288,night వేసుకున్న sir,రాత్రి వేసుకున్న సార్,Sir wearing night
289,289,అయితే అప్పటిలాగా లేదు sir soundలు అప్పుడు బాగా ఉండే audiogram చేయించినప్పుడు,అయితే అప్పటిలాగా లేదు సార్ శబ్దాలు అప్పుడు బాగా ఉండే ఆడియోగ్రామ్ చేయించినప్పుడు,But it is not like then sir when the audiogram was done which was good
290,290,ఇందులో bone ఒక్కటి bend అయి ఉంది.,ఇందులో ఎముక ఒక్కటి వంగి ఉంది.,One of the bones is bent.
291,291,1 week నుంచి ఈ ear అసలు కొద్దిగా sound తక్కువ వస్తుంది నిన్నటినుంచి ఇది కూడా.,1 వారం నుంచి ఈ చెవిలో అసలు కొద్దిగా సౌండ్ వస్తుంది నిన్నటినుంచి ఇది కూడా.,Since 1 week there is a little sound in this ear and this is also from yesterday.
292,292,అయితే నేను microbiology technician sir MGMలో,అయితే నేను మైక్రోబయాలజీ టెక్నీషియన్ సర్ MGMలో,But I am microbiology technician sir in MGM
293,293,cold ఉంది sir బాగా.,చల్లని ఉంది సార్ బాగా.,It's cool sir well.
294,294,blood వస్తుంది sir.,రక్తం వస్తుంది సార్.,"There will be blood, sir."
295,295,sneeze చేయడానికి.,తుమ్ము చేయడానికి.,to sneeze
296,296,headache వస్తుంది అంటుంది.,తలనొప్పి వస్తుంది అంటుంది.,Headache is coming.
297,297,tissue paper ముక్కులో మాత్రం పెట్టొద్దు,కణజాల కాగితం ముక్కులో మాత్రం పెట్టొద్దు,Do not put the tissue paper in the nose
298,298,ఒక్కోసారి వస్తే 15 20 times continuous వస్తాయి.,ఒక్కోసారి వస్తే 15 20 సార్లు నిరంతరం వస్తాయి.,If it comes once in a while 15 20 times it comes continuously.
299,299,ఇది Asthma ఉంది sir,ఇది ఆస్తమా ఉంది సార్,This is asthma sir
300,300,"gasteroenterologist ని కలిశాము, పరీక్షలుచేసి అంతా బాగుందని medicines ఇచ్చారు అయినా తగ్గడం లేదు.","గ్యాస్ట్రోఎంటరాలజిస్ట్ ని కలిశాము, పరీక్షలు చేసి అంతా బాగుందని మందులు ఇచ్చారు అయినా తగ్గడం లేదు.","We met a gastroenterologist, they did tests and everything was fine, they gave me medicine but it didn't reduce."
301,301,"right upper abdominal లో విపరీతమైన pain, burning sensation ఉంది.","కుడి ఎగువ పొత్తికడుపులో విపరీతమైన నొప్పి, మండే అనుభూతి.","Extreme pain in right upper abdomen, burning sensation."
302,302,అన్నిట్లో normal ఉంది.,అన్నిట్లో సాధారణమైనది.,Most common of all.
303,303,కానీ pain మాత్రం తగ్గట్లేదు.,కానీ నొప్పి మాత్రం తగ్గలేదు.,But the pain did not subside.
304,304,గత 7 8 years నుంచి నేను gym చేస్తున్నాను.,గత 7 8 సంవత్సరాల నుంచి నేను జిమ్ చేస్తున్నాను.,I have been doing gym since last 7 8 years.
305,305,నొప్పి వచ్చినప్పుడల్లా motion free అవుతుంది.,నొప్పి వచ్చినప్పుడల్లా విరోచనం సాఫీగా అవుతుంది.,"Whenever there is pain, vomiting becomes smooth."
306,306,ఒక్కోసారి hold అయినట్లు ఒక్కోసారి మధ్య మధ్యలో break అవుతుంది.,ఒక్కోసారి హోల్డ్ అయినట్లు ఒక్కోసారి మధ్య మధ్యలో బ్రేక్ అవుతుంది.,Sometimes it is held and sometimes it breaks in the middle.
307,307,చిన్నప్పుడు కడుపులో worms ఉండేవి.,చిన్నప్పుడు కడుపులో పురుగులు ఉండేవి.,Worms in the stomach as a child.
308,308,day timeలో బాగానే ఉంటుంది.,పగటి సమయంలో బాగానే ఉంటుంది.,It's fine during the day.
309,309,right side stomachలో అలాగే back side బాగా pain వస్తుంది.,కుడి వైపు కడుపు అలాగే వెనుకవైపు బాగా నొప్పి వస్తుంది.,The right side of the stomach and the back are very painful.
310,310,ల pain వచ్చినప్పుడల్లా vomitings అయితుంది.,ల నొప్పి వచ్చినప్పుడల్లా వాంతులు అయితుంది.,Vomiting occurs whenever there is pain.
311,311,chestలో కూడా నొప్పిగా ఉంటుంది.,ఛాతీలో కూడా నొప్పిగా ఉంటుంది.,There is also pain in the chest.
312,312,ఇల pain వచ్చినప్పుడల్లా vomitings అయితుంది.,ఇల నొప్పి వచ్చినప్పుడల్లా వాంతులు అయితుంది.,Vomiting occurs whenever pain occurs.
313,313,ఇల గతం 15 yearsగా అవుతుంది.,ఇలా గతం 15 సంవత్సరాలు అవుతుంది.,It has been 15 years.
314,314,dr ని consult చేస్తే. ultrasound scan చేసి muscular pain అని అన్నారు.,dr ని సంప్రదిస్తే చేస్తే. అల్ట్రాసౌండ్ స్కాన్ చేసి కండరాల నొప్పి అని అన్నారు.,If you consult dr. They did an ultrasound scan and said it was muscle pain.
315,315,medicines రాశారు.,మందులు రాశారు.,Medicines were prescribed.
316,316,pain తగ్గట్లేదు.,నొప్పి తగ్గలేదు.,The pain did not subside.
317,317,తరువాత మళ్లీ test చేయించాను.,తరువాత మళ్లీ పరీక్ష చేయించుకున్నాను.,Then I took the test again.
318,318,serum analysis test చేశారు.,రక్తరసి విశ్లేషణ పరీక్ష చేశారు.,A blood analysis test was done.
319,319,infection వచ్చింది అని చెప్పారు.,ఇన్ఫెక్షన్ వచ్చింది అని చెప్పారు.,He said he got an infection.
320,320,మళ్లీ medicines వాడుతూనే ఉన్నాను.,మళ్లీ మందులు వాడుతూనే ఉన్నాను.,I am still using medicine.
321,321,మా అబ్బాయికి adbdominal tb ఉంటే 11 months treatment తీసుకున్నాడు.,మా అబ్బాయికి ఉదర tb ఉంటే 11 నెలల చికిత్స తీసుకున్నాడు.,My son had abdominal tb and took 11 months of treatment.
322,322,ఇప్పుడు reports అన్ని normalగానే ఉన్నాయి.,ఇప్పుడు రిపోర్ట్స్ అన్నీ మామూలుగానే ఉన్నాయి.,Now all the reports are normal.
323,323,కానీ అప్పుడప్పుడు abdomin pain వస్తుంది.,కానీ అప్పుడప్పుడు పొత్తి కడుపు నొప్పి వస్తుంది.,But occasionally there is abdominal pain.
324,324,gas problem ఉంది.,గ్యాస్ సమస్య ఉంది.,There is a gas problem.
325,325,"విపరీతమైన కడుపు వస్తూ ఉంటే dr ని consult చేస్తే appendicities ఉందని చెప్పారు, తరువాత, అది కాదు అని తెలిసింది.","విపరీతమైన కడుపు వస్తూ ఉంటే dr ని కన్సల్ట్ చేస్తే అపెండిసైటిస్ అని చెప్పారు, తరువాత, అది కాదు అని తెలిసింది.","If you consult a doctor if you have a severe stomachache, you are told that it is appendicitis, later, it is not."
326,326,కొంత relax అయ్యాం,కొంత రిలాక్స్ అయ్యాం,We relaxed a bit
327,327,పరీక్షలుచేసి కడుపులో infection ఉంది అని చెప్పాను.,పరీక్షలు చేసి కడుపులో ఇన్ఫెక్షన్ ఉందని చెప్పాను.,Tests were done and I was told that there was an infection in the stomach.
