,L1,L2,CM_candidates
1694,"@నాగవరపు సాయి తేజ నా ఉద్దేశ్యం నాది కాదు, నాది కాదు. 😬","@Nagavarapu Sai Teja my point is not mine, not mine. 😬","@Nagavarapu Sai Teja నా point నాచేధ ne , నాచింద కాదు . 😬 "
1733,@RGV వర్మ బాలయ్య ఒక ఎమోషన్ బ్రో 😂,@RGV Varma Balayya is an emotion bro 😂,@RGV వర్మ బాలయ్య is an emotion bro 😂
321,@aktarak_ @palanadu_kuradu వావ్ వెల్ డన్ సార్ ట్యాగ్ చేసి మంచి పని చేసావ్ ఎవరైనా అన్ ఫాలో చెయ్యండి 🙌,@aktarak_ @palanadu_kuradu Wow well done sir tag and do a good job unfollow someone 🙌,@aktarak_ @palanadu_kuradu Wow బాగుండి సర్లే tag చేసి మంచిపని చేసావ్ ఒకరిణి unfollow చేసా 🙌
3187,టెస్ట్ మ్యాచ్ చాలా భయానకంగా ఉంది 🥴 #SRH #DCvSRH,Test match very scary 🥴 #SRH #DCvSRH,Test match చాల భగుండి రా 🥴 #SRH #DCvSRH
804,@సురాజు మలయాళం చాలా బాగుంది సార్! ఏం సందేశం! #ఇంట్లో సురక్షితంగా ఉండండి,@suraju malayalam very good sir ! What a message! #stayhomestaysafe,@ssrajamouli మలయాళం chaalaa బాగంధి sir ! What a message ! #StayHomeStaySafe
630,@రాజా వెంకటేష్ 20 కోట్ల గ్రాస్ ముందు 10 కోట్ల షేర్ ఇహ ఇంచుమించుగా,@Raja Venkatesh 20 crores gross before 10 crores share eh approximate ga,@Raja Venkatesh 20 crores gross ముందు 10 crores share eh approximate ga
2165,@HafeezJSP @Rohit___RS నాకు అవి చెడ్డ పథకాలు కానీ అంధుడు నాయకుడికి మద్దతు ఇస్తాడని నాకు చెప్పారు,@HafeezJSP @Rohit___RS told me that avi is bad schemes but blind ga will support the leader,@HafeezJSP @Rohit___RS వల్లకి తెల్సు avi చెట్టా schemes అని కని blind ga వల్ల leader ని support చెస్తరు
2900,Bro Make Video on SPB సార్ దయచేసి మీరు ఆయన పాటలు వింటూ పెరిగారని అనుకుంటున్నాను,Bro Make Video on SPB Sir Please I think you grew up listening to his songs,Bro Make Video on SPB Sir Please అయన పాటలు వింటూనే పెరిగావ్ అనుకుంటున్నాను
3320,Zee5లో 47 రోజుల మిస్టరీ అన్‌ఫోల్డ్స్ మూవీ గురించిన అప్‌డేట్ ఏమిటి. !,What is the update about 47 Days The Mystery Unfolds Movie on Zee5. !,Zee 5 లో 47 Days The Mystery Unfolds Movie గురించీ Update ఏవండీ . !
3325,"@RKB_Tweets 2009 ఒంటరి NTR , pk ఇద్దరు ప్రచారం చేసారు కానీ ntr స్పీచ్ చాల బాగుంది","@RKB_Tweets 2009 lone ntr , pk two campaigned but ntr speech very good","@RKB_Tweets 2009 lone ntr , pk ఇద్దరు ప్రచారం చేసారు but ntr speech chaalaa బాగండి "
4387,సమీక్షకు ధన్యవాదాలు అన్నా,Thanks for the review sai Bro,Thanks for the review sai అన్న
117,జాక్స్ పరూ సినిమా సమీక్ష చెయ్ బ్రో,Do Jaks paroo movie review Bro,Jaks paroo movie review చెయ్ Bro
4009,భయ్యా కొన్ని ఆసక్తికరమైన మలయాళ చిత్రాలను సూచించండి,Bhaiya suggest some interesting Malayalam movies,Bhayya suggest some interesting మలయాళం movies
4636,@Hitmann452 @Hitman4Lyf @ImRo45 లైక్‌లతో లైట్ కౌంటర్ ఇవ్వండి 🤙,@Hitmann452 @Hitman4Lyf @ImRo45 Give lite counter with likes ga 🤙,@Hitmann452 @Hitman4Lyf @ImRo45 Likes తో lite counter ఇచ్చావ్ ga 🤙
275,"బ్రో , `` డిస్కో రాజా సినిమా `` రకమైన వీడియోతో ఏ తప్పు జరిగింది .","Bro , `` What went wrong with with Disco raja movie `` kind of video .","Bro , `` What went wrong with with Disco రాజా movie `` kind of video . "
2317,@Arunchiluveru @Pawankalyan పాట మఠం ఐస్ చాలా బాగుంది,@Arunchiluveru @Pawankalyan song Math  is very good,@Arunchiluveru @PawanKalyan Song గణితము చాల bagund ఆది
945,"జఫ్ఫా గాడి నచ్చకపోతే అన్నదారి నచ్చదుజమే బ్రో సినిమా బాగుంది, జాఫర్‌కి నచ్చకపోతే ఎవరికీ నచ్చదా","True bro movie is nice, if JAffar doesn't like will noone like it",Nijame bro movie bagund ee జాఫా గాడికి నాచకుంటే అన్నదారికి నచడ
3905,@TrackTwood రంగే దేవుడికి 17 లక్షలు ఇవ్వచ్చు కదా,@TrackTwood Rangde give 17 lakhs to God ,@TrackTwood ఓకా 17 lakhs దేవుడికి ఇచ్చావ్ gaa Rangde
3963,అరణ్య సినిమాల్లో మీ టిక్కెట్లు బుక్ చేసుకోండి చాల బాగుండి సినిమా 👌 👌 #Aranya @RanaDaggubati,"ARANYA IN CINEMAS Book your tickets, cinema very good movie 👌 👌 #Aranya @RanaDaggubati",ARANYA IN CINEMAS Book ur tickets చాల భగుంధి movie 👌 👌 #Aranya @RanaDaggubati
2287,సాయినాథ్ గారు సరిలేరు నీకెవ్వరు సినిమా ఓకే వీడియో ప్లీజ్,Sainath bro Sarileru Neekevvaru movie one video please,Sainath గారు సరిలేరు నీకెవ్వరు movie గురించీ సరే video తేయాండి please
4089,"@uRstruLymaNohaR @Sneyhaaa Bro dp, కుమ్మవ్ గా అసల","@uRstruLymaNohaR @Sneyhaaa Bro dp, is very nice",@uRstruLymaNohaR @Sneyhaaa Bro dp కుమ్మవ్ ga asla
4509,@NahomAgan @nsptsaiphanitej మీరు ఎంత ఫాస్ట్ గా ఇచ్చారు,@NahomAgan @nsptsaiphanitej How fast you gave bro,@NahomAgan @nsptsaiphanitej ఎంతా fast gaa ఇచ్చావ్ అన్న
1097,బ్రో కూడా పొగరు మీద రివ్యూ చేయండి,Bro also make review on Pogaru,Bro also make review on పొగరు
4655,Brow Watch భీమసేన నలమహారాజు. మరియు మా Thyview అనుచరులకు సూచించండి,Brow Watch Bhimasenu Nalamaharaja. And suggest to our Thiview followers,Bro watch భీమసేనుడు నలమహారాజు . And suggest to our thyview followers
3044,నిజంగా ఈ సినిమా అభిమన్యుడు సీక్వెల్ అనుకున్నాను,Really I thought this movie is a Sequel of Abhimanyudu,Really I thought this movie is a Sequel of అభిమన్యుడు
4478,@srivalli_chukka ధన్యవాదములు కరెక్ట్ గా చెప్పండి,@srivalli_chukka thanks give correct,@Srivalli_chukka Thanks రా correct gaa ఇచ్చావ్
1990,@25 -PKG-శ్రేయాన్ కొత్తది కానీ ప్రజలు కాపీ చేసిన సినిమాని ఇష్టపడుతున్నారు 🤟 🤟,@25 -PKG-shreyan new but people like copied movie 🤟 🤟,@25 -PKG-shreyan న్యూన్ but people like copied movie 🤟 🤟
3405,అబ్బాయి ఈ అవార్డ్ ఒకరికొకరు స్పష్టంగా ఇవ్వండి bro... #Sarkaruvaripata,Boy give this award to each other clearly bro... #Sarkaruvaripata,బయ్యా అందులో ee award ఎవరికీ ఇచ్చవ్ knchm clarity gaa చెపు bro ... #SarkaruVaariPaata
2445,@gayatri008_16 మంచి పని తరుణ్ అన్న సేవ్ చేయబడ్డాడు,@gayatri008_16 Good work Tarun Bro is saved,@gayatri008_16 మాంచి పాణి అయ్యింది Tarun అన్నా Saved
623,కన్నడ కంటెంట్‌తో మరిన్ని చేయండి బ్రో . నేను మీ వాయిస్‌కి అభిమానిని అయ్యాను,Do much more with kannada content bro . I became fan of your voice,Do much more with కన్నడ content bro . I became fan of your voice
3326,@yours_raghu నాకు మంచి పని 1000 చేసారు,@yours_raghu did a good job 1000 loss for me,@Yours_Raghu మాంచి పాణి చేసావు 1000 బొక్క naaku
1715,@Rohit___RS @NTR_Warrior ఆది లాగా సిగ్గు లేకుండా సంతోషంగా జీవించాలి,@Rohit___RS @NTR_Warrior should be like Aadi and live happily without shame,@Rohit___RS @NTR_Warrior ఆది లా ఉండలి అన్న జీవితం లో సిగ్గు లేకండా సుఖం gaa బతికేయొచ్చు
4761,ఉద్యోగం ఉండాలి... జీతం ఉండాలి... సొంత ఇల్లు ఉండాలి,There should be a job...salary should be...own house,Job ఉండలి ... salary ఎంటా ఉండలి ... own house ఉండలి అనే adugy విలువ కుడా అడ్డా గాడిధ అవుట్రు
3042,@Im_BhavanaG @Rani0808 IPL టీమ్‌లు ఊహించినట్లుగానే నేను అన్నీ ఇచ్చాను 😴,@Im_BhavanaG @Ramani0808 I gave it all like IPL teams ga guessed it 😴,@Im_BhavanaG @Ramani0808 కాస్త అన్నీ IPL teams లాగ ఇచ్చావ్ ga అలా guess చేసా 😴
3148,ఉదయం నుండి సమీక్ష కోసం ఎదురు చూస్తున్నాను బ్రో,Waiting bro mee for review since morning,Morning నుంచీ waiting bro mee review కోసం
43,బ్రో ఈ భాష ఏమిటి బ్రో. తెలుగు లేదా ఇంగ్లీషు తెలుగు లేదు + ఇంగ్లీష్ = తెంగ్లీష్ ఆ,Bro what is this language bro. No Telugu or English Telugu + English = Tenglish ?,Bro edi ee language bro . తెలుగు లేడ english లేకపోతె తెలుగు + english = తెంగ్లీష్ aa
2465,సినిమా నచ్చింది. ఇది మహేషింటే రివెంజ్‌కి గొప్ప రీమేక్. కేరళ నుంచి వచ్చిన ప్రేమ,Loved the movie. it is a great remake of Maheshinte's Revenge. Love from Kerala,Loved the movie . it is a great remake of మహేశింటే ప్రతీకారం . Love from కేరళ
983,అన్నా టాప్ 10 సైబర్ థ్రిల్లర్ సినిమాలపై వీడియో చేయండి 😭 🙏 🙏,Bro make a video on top 10 cyber thriller movies 😭 🙏 🙏,అన్నా make a video on top 10 cyber thriller movies 😭 🙏 🙏
2797,@Kkdtalkies మంచి పని ... 500 .. 1000 అంటే ఎవరు కొంటారు ... 500 ఉంటె 2 వెళ్ళవచ్చు,@Kkdtalkies Manchi pani ... 500 .. 1000 antey who will buy ... if 500 is there two can go,@Kkdtalkies మాంచి పాణి ... 500 .. 1000 ఏంటీ యెవడు కొంటాడు ... 500 untey 2 వెళ్ళచ్చు
1700,"@urstrulysid_ @geeky_kicku అతను వేధింపులు చేసాడు బ్రో, నిషేధించడం మానేసి పానీ ఎలా అవుతాడు","@urstrulysid_ @geeky_kicku he did harassment bro, how to stop banning and become pani","@urstrulysid_ @geeky_kicku వాడు harrasement చేసాడు bro , ban చెయ్యడం మాంచి పాణి ఎలా అవ్వుడి "
4301,బీర్బల్ కన్నడ సినిమా బాగుంది. bgm సూపర్. సినిమా చూడండి. .,Birbal Kannada movie is nice. bgm super. Watch the movie. .,Birbal కన్నడ movie is nice . bgm super . watch ది movie . .
3872,@Bloodu999 ఈ వీడియోలో NCని నిజంగా ఇష్టపడ్డారు. బాగుంది... మురికి లేదు...,@Bloodu999 Really liked NC in this video. Good ... no dirt ...,@Bloodu999 Really liked NC in this video . మంచోడు ... కల్మషం లేనోడు ...
2179,@imSpyderMan_ మేఘాలను చూడటం చాలా బాగుంది బ్రో ☁ ️,@imSpyderMan_ Wow nice to see the clouds Bro ☁ ️,@imSpyderMan_ Wow మబ్బులు చూడటానికి చాల బాగుండి Bro ☁ ️
899,నా తక్కువ తెలుగు ఛానెల్ లేదా ఏమిటి? మీరు నిక్కి ఎంత చెల్లించారు?,My low Telugu channel or what? How much have you paid Nikki?,నా తక్కువ . తెలుగు channel or what ? ఎంతా pay చేసారు నిక్కి
797,నీవ్యూ అన్నా. దయచేసి YRK లాంచ్ టీజర్‌పై స్పందించండి 🙏 🙏 😍 😍,Thyview Bro. please please please react YRK launch teaser 🙏 🙏 😍 😍,Thyview అన్నా . please please please react YRK ప్రయోగ teaser 🙏 🙏 😍 😍
2702,"వేస్ట్ సినిమా, కార్తికేయ కోసమే ఒకసారి చూశాను","Waste movie, only for Karthikeya, I watched once","Waste movie , only for కార్తికేయ , I watched once "
2874,@AlankarMBFans జై గుండు అంటూ తన్నిన స్టార్ 🔥,@AlankarMBFans Jai Gundu is a star who has kicked the ass 🔥,@AlankarMBFans జై గుండు కొట్టి గాడిధ మేడ ఒరేగించిన నక్షత్రం 🔥
1320,మీరు ఒకసారి స్క్రిప్ట్ రాయండి బ్రదర్. చూద్దాం,You write once script . Let's see bro,Nv ray సరే script . Chussthm bro
22,అన్నా నీ పేరు రామ్ ఆహ్?,Is you name Ram?,అన్నా ని పెరూ Ram ఆహ్ ?
477,పుష్ప సినిమా లీక్ వీడియో సాంగ్ సూపర్ ఉంది,pushpa movie leaked video song super,pushpa movie leaked video song super ఉండి
1250,Saaho మొదటి ఫైట్ వివరణాత్మక విశ్లేషణ చేయండి బ్రో,Do Saaho first fight detailed analysis bro,Saaho first fight detailed analysis చెయ్యండి bro
3667,@manitarak99_99 అయినవ్లే అమ్మ కూడా ఆలస్యంగా రిప్లై ఇచ్చింది 😥,@manitarak99_99 Ainavle mom gave a late reply too 😥,@manitarak99_99 Ainavle అమ్మ reply కూడ late gaa ఇచ్చావ్ 😥
3732,అనేక కారణాల వల్ల అన్న పొగరు సినిమా రివ్యూ ఇవ్వలేదు,Anna Pogaru did not give a movie review because of several reasons,అన్నా పొగరు movie review ఇవ్వలేదు kadhaa ఎందుకంటే
2756,వారే శరత్‌కుమార్‌కు టాలీవుడ్‌లో అదృష్టవంతులు,They are Sarathkumar his lucky charm of Tollywood,వారు sarathkumar his lucky charm of tollywood
3690,@THYVIEW ఇంకా లేదు బ్రో 😅 😅 నే వీక్షణ కోసం వేచి ఉన్నాను,@THYVIEW not yet bro 😅 😅 Waiting for your review,@THYVIEW ఇంకా లేడు bro 😅 😅 నే view కొసమో waiting
3,దూబే గాడిని వదిలేసి మాంచి పని చేసాడు @RCBTweets 👍,Dubey left the groove and did a good job @RCBTweets 👍,Dube గాడిని వదిలేసి మాంచి పాణి చేసారు @RCBTweets 👍
2128,అమ్మోరు తల్లి సినిమా రివ్యూ plz @thyview team,Ammoru mother movie review plz @thyview team,అమ్మోరు తల్లి movie review పెట్టండి plz @thyview team
4725,నేను థియేటర్ నుండి వస్తున్నాను 😁 😁 మరియు మీ నోటిఫికేషన్ 🥳 🥳 🤩 🤩 అయితే సినిమా సూపర్ . 😍,Just me coming from theatre 😁 😁 And is your notification 🥳 🥳 🤩 🤩 But movie super . 😍,Just నేను coming from theatre 😁 😁 And is your notification 🥳 🥳 🤩 🤩 But movie super . 😍
328,కంటైన్‌మెంట్ జోన్‌లో ఉన్నా థియేటర్‌లో చూడలేను బ్రదర్ 😭 😭,I can't see it in the theater bro even if it's in the containment zone 😭 😭,Theatre లో చూడలేను bro containment zone లో ఉన్నా 😭 😭
1847,కాన్ఫిడెన్స్ ఉంది 😍 😍 అన్న ముందు హాయిగా ఉండగలను అని రాశి చెప్పడంతో అవుట్‌పుట్‌తో హ్యాపీగా ఉంది,Confidence is there 😍 😍 I am happy with the output as Rashi said that I can be comfortable in front of Anna,Confidence ఉండీ 😍 😍 I am happy with the output అన్నా ముందు హాయిగా ఉండొచ్చు అని రాశి ఇచ్చినట్టే
731,@fonts_kumar ఫాంట్ మరియు జోక్ చాలా బాగుంది సార్ 👌 👌 👍 👍,@fonts_kumar font and joke are very nice sir  👌 👌 👍 👍,@fonts_kumar చాల బాగుంది sir font and joke 👌 👌 👍 👍
1756,@AryanSuryA_ @alluarjun నిజమే ❣ ️❣ ️ ఎడిట్ చాలా బాగుంది అన్న 💥,@AryanSuryA_ @alluarjun Ha true ❣ ️ ❣ ️ Edit Very good bro 💥,@AryanSuryA_ @alluarjun Ha true ❣ ️ ❣ ️ Edit చాల బాగుండి broh 💥
578,@Fanatic_pk జగన్ మంచోడ్ అయ్యి Rcb కప్ గెలవడం ఎప్పటికీ జరగదు,@Fanatic_pk Jagan becoming manchod and winning Rcb cup will never happen,@Fanatic_pk Jagan manchodu అవ్వడం Rcb cup కొట్టడం అస్సలు జరగవు
3108,@PavanTweetz @YouTube చిల్లర్ ఎధవా దీన్ని సులభతరం చేయడానికి బదులుగా క్లిష్టతరం చేసింది,@PavanTweetz @YouTube Stupid made it complicated instead of making it easy,@PavanTweetz @YouTube Easy ga చెయ్యాలి కని complicate చేసాడు chillar ఎధవ
521,"చెప్పండి, సమస్యలు లేవు ప్రతి వీక్షణ ఇక్కడ స్వాగతం","Say, no issues every view is welcome here","చెప్పండి , no issues every view is welcome here "
300,@Observe99945 @prakashraj_Jspk చిన్న విరామం ఇచ్చావ్  గా అన్న బాగా అస్స్వాదించారా,"@Observe99945 @prakashraj_Jspk Bro you gave short break, have you enjoyed it?",@Observe99945 @prakashraj_Jspk Small break ఇచ్చావ్ ga bro enjoyed a lot aa
1503,సినిమా కి తగ్గట్టుగా కుమ్మవ్వ పోస్ట్‌లు 🙏 🤙 🤙,"According to the movie, nice posts 🙏 🤙 🤙",Movie vise gaa కుమ్మవ్వ posts 🙏 🤙 🤙
776,"@_Man_You నేను బాగున్నాను. మీరు మంచి పని చేసారు, మీకు శాంతి లభించింది","@_Man_You I'm good. You have done a good deed, you have found peace",@_Man_You I 'm good . తిస్కోని మంచిపని చేసావ్ ప్రశాంతత దొరికింది నీకు
1400,@19 19-581 ర్యామ్ rAM అస్సలు కాదు. తెలుగులో టేకింగ్ చాలా బాగుంది కానీ. మొదటి సగం బోరింగ్,@19 19-581 RaM rAM not at all. Taking in Telugu is very good but . first half is boring,@19 19-581 RaM rAM not at all . తెలుగు లో taking చాల బాగుండి but . first half మరి booring
4683,పవర్ ప్లే సినిమా రివ్యూ కూడా. .,Power play movie review too. .,Power play movie review కుడా . .
145,@SangepuRamya @KingOf_Attitude @PawanKalyan ఇవ్వాళ పదండి రమ్య గారు 😏 వాయిస్ చాలా బాగుంది,@SangepuRamya @KingOf_Attitude @PawanKalyan let's go today Ramya  😏 voice is very good,@SangepuRamya @KingOf_Attitude @PawanKalyan ఇవ్వాళ పదండి రమ్య గారు 😏 voice చాల బాగుండి
4738,@Gautham_404 మొదటి ప్రత్యుత్తరం మీరు గా ట్వీట్ కి ఇచ్చారు,@Gautham_404 First reply you gave reply to tweet,@Gautham_404 First reply నువ్వే ఇచ్చావ్ ga tweet ki
547,@iMeowmee_ @imeghanavirat  వెంటనే ప్రత్యుత్తరం ఇచ్చావ్ ,@iMeowmee_ @imeghanavirat Immediately you gave reply,@iMeowmee_ @imeghanavirat వెంటానే reply ఇచ్చావ్ 
4885,ఏ సినిమా ట్రైలర్ నాచితే ఆ సినిమాకి వెళ్ళండి,Go to the movie if you like the trailer,ఇహ్ movie trailer nachite దానికీ వెళ్ళండి.
4033,"ముందు నాకు నచ్చింది బ్రదర్, అది చాలు మాకు","I liked it before enough bro, that's enough for us","నువ్ I liked it ముందు enough bro , అంతె చాలు మాకు "
240,"@HarshAA_45 @_vi_hs_wa_T నేను నిన్ను జాగ్రత్తగా చూసుకుంటాను, ప్రశాంతంగా సచిపో","@HarshAA_45 @_vi_hs_wa_T I'll take care of you, rest in peace",@HarshAA_45 @_vi_hs_wa_T నేన్ చూసుకుంటా le అన్న నువ్ హాయిగా సచిపో
4538,@Never నాకు తెలిస్తే నిన్ను ఎందుకు అడుగుతా అన్న,@Never if I know why am I asking you bro,@Never trust naaku తెలిస్తే నిన్నెందుకు అడుగుట bro
2250,@THYVIEW ధన్యవాదాలు సోదరా ప్రత్యుత్తరం ఇచ్చినందుకు ,@THYVIEW tq u bro for replying,@THYVIEW tq u broh rply ఈచినందుకు
2391,@ReddyVengal2 @30thjuly2021 కాదు అన్న మా CA సార్ మంచివాడు ❤,@ReddyVengal2 @30thjuly2021 No bro our CA sir is nice ❤,@ReddyVengal2 @30thjuly2021 లేడు bro మంచ్డు maa CA sir ❤
1024,"క్రికెట్‌లో ఉత్తమ ప్రతీకారాలు, ఈ కంటెంట్‌లో వీడియో చేయండి అన్న","Best revenges in cricket, do a video in this content bro",Best revanges in cricket ఇ contant పై video cheyandi bro
519,చాల సాధారణ గా చెపేసావు. బాగోలేదు,You said it very simply. It's not nice,Chala simple GA చెపేసావు . బాగోలేదు
1312,అన్నయా కపటధారి సమీక్ష ఎక్కడ ఉంది 🤔 🤔,Bro where is the kapatadhaari review 🤔 🤔,Annaya where is the కపటధారి review 🤔 🤔
4239,నీ వ్యూ క్రేజ్ కాదు అది జాతి రత్నాల వ్యామోహం,Not thyview craze it is jaathirathaanulu craze 😁,Not thyview craze it is జాతిరత్నాలు craze 😁
4856,@strivng4peace ఈసారి కూడా నాకు హ్యాండ్ ఇవ్వండి,@strivng4peace give me a hand this time too,@strivng4peace ఈసారి కుడా hand ఇచ్చావ్ ga
384,"@The_Puchakaya_ @director_radhaa @hegdepooja మా రాధ మంచి వ్యక్తి సోదరా, అతను మారిపోయాడు మరియు ఈ నెలలో అతను మరొక అప్‌డేట్ ఇస్తాడు 😌","@The_Puchakaya_ @director_radhaa @hegdepooja Our radha nice person bro,he's changed and he will give another update this month 😌",@The_Puchakaya_ @director_radhaa @hegdepooja మా రాధ manchod bro మరి పోయాడు ఇంకో update isthadu ఇ month lone 😌
2840,@SB_PANCHAL @ganeshbandla @PawanKalyan చాలా బాగా చేసారు మీకు ఉజ్వల భవిష్యత్తు ఉంది 😍 😍 😍,@SB_PANCHAL @ganeshbandla @PawanKalyan very well done you have bright future well-done 😍 😍 😍,@SB_PANCHAL @ganeshbandla @PawanKalyan చాల బాగుండి done you have bright future well-done 😍 😍 😍
1539,@SaiSunil452 హ మా @urs_koushik_ మావా మంచోడు ❤️ 🔥 PR Pic లో అదే Id పెట్టి కొంచెం తికమక పెడుతున్నారు 🤣,@SaiSunil452 Ha Our @urs_koushik_ Mawa nice person ❤ ️ 🔥 he is confusing by putting same Id in PR Pic 🤣,@SaiSunil452 Ha మా @urs_koushik_ మావా మంచోడు ❤ ️ 🔥 Konchem Same Id పెట్టి Confuse చేస్తున్నాడు PR Pic లో లా 🤣
395,"సినిమా ఎంపిక ఏమిటి అన్న , రివ్యూ ముందు 😎 🤘 సినిమా తదుపరి 😎","What is the movie selection bro, Review 1 st 😎 🤘 Movie next 😎","Movie ఎంపికకా యేంటి bro , Review 1 st 😎 🤘 Movie next 😎 "
47,"@Bhanu__prabhas @KalyanReddy99 ఓ అందమైన అమ్మాయి చెడుగా మాట్లాడగలదు, శుభ రాత్రి",@Bhanu__prabhas @KalyanReddy99 oh beautiful girl can say bad things gn,@Bhanu__prabhas @KalyanReddy99 ఓ butipul అమ్మాయ్ చెట్టా చెప్పించొచ్చు ga gn
352,ఒరేయ్ బుజ్జిగా రివ్యూ చెయ్యగలవా?,Can you do orey bujjiga review?,Can you do orey బుజ్జిగా review ?
2614,రాధే శ్యామ్ జోడించారు. జూలై 30న. .,Radhe Shyam added. on 30 July. .,రాధే శ్యమ్ added . on 30 July . .
3994,నమస్కారం అన్న . రాబర్ట్ సినిమా రివ్యూ ఇవ్వండి బ్రదర్. త్వరలో,hello Bro . Give Robert movie review bro. soon,hlo భయ్యా . Robert movie Review ఇవ్వు భయ్యా . soon
3897,సూపర్ అన్న సినిమా. బ్లాక్ బస్టర్. పర్లేదు కాదు,Super Bro movie. Blockbuster. Not Okayish,Super బయ్యా movie . Blockbuster . పర్లేదు కాదు
4910,చిల్లర గా @డైరెక్టర్_రాధా మేల్కొలపండి UV క్రియేషన్స్ #ప్రభాస్ | #రాధేశ్యామ్,Stupid @Director_Radha Wake up UV creations #Prabhas | #Radheshyam,Chillar ga @director_radhaa NIDRA LEY UV CREATIONS #Prabhas | #RadheShyam
2492,@Doctoar lol ఆ గలీజ్ గడువు గురించి నాకు తెలియదు ... చింతించకండి మామి,@Doctoar lol I do n't know about that useless deadline ... don't worry Mommy,@Doctoar lol I do n't know about that galeez గడువు ... do n't worry మామి
1552,@Ishra1023 @SailuSam20 @blueewelkin @SamanthaUnivers నేను రిప్లై ఇచ్చే ముందు  ఇవ్వనని చెప్పాను అంతే... స్పైడర్ ఆల్బమ్ ఇస్తున్నాను,@Ishra1023 @SailuSam20 @blueewelkin @SamanthaUnivers I said I won't give it that's it before replying... I'm giving you the album Spyder,@Ishra1023 @SailuSam20 @blueewelkin @SamanthaUnivers ఇవ్వను అని ఇచ్చావ్ gaa అదేయ్ reply ముందు ... సారే నీకు ఇస్తున్నా album Spyder
3285,ఈరోజు అంతరిక్షంలో @Teju_Kalyan అక్కా పక్కానా 😌 😍 ఈరోజు స్పేస్ చాలా బాగుంది 🙌 కొన్ని తెలియని విషయాలు తెలుసుకొని విలువైనదిగా చెప్పుకోవచ్చు 🙏,Today in Space @Teju_Kalyan sister beside 😌 😍 Space is very good today 🙌 came to know some unknown things and can say Valuable 🙏,ఈరోజు Space లో అలా @Teju_Kalyan అక్కా పక్కానా 😌 😍 Space చాల బాగుండి ఈరోజు 🙌 కొన్ని తెలియనివి తెలుసుకున్నా Valuable అని చెప్పుకోవచు 🙏
2684,బాడీ డబుల్ లాగా వాయిస్ డబుల్. Thyview ట్రిక్ చేస్తోంది,Voice double like body double. Thyview is doing the trick,Body double లాగ Voice double . Thyview మాయ చేస్తున్నాడు
4044,"సినిమా లగీ మీ రివ్యూ కుడా నెమ్మది గా ఉంది అన్న , మీరు చూడవలసిన అంశాలు ఎక్కువగా లేవని నేను భావిస్తున్నాను","Like Moive your review also slow bro , I think it 's becoz u do n't have much aspects to watch out","Movie లగీ me review కుడా slow gaa ఉండీ broo , I think it 's becoz u do n't have much aspects to watch out "
962,@నీను సిద్ధార్థ్ 1 వారం క్రితం చూసా,@Neenu Siddharth I saw 1 week back,@Neenu Sidharth 1 week back a చూసా
2353,జబర్దస్త్ శీను ఏం అన్న గెట్ అప్ శీను .,Jabardast Shinu what bro get up Shinu .,Jabardasth శీను enti bro Get up శీను .
2593,ఇప్పుడే చూసా అన్న. కాంగ్ మావా అరాచకం 🔥 🔥,ust saw it bro. Kong anarchy 🔥 🔥,ఇప్పుడే చూసా bro . Kong మావా అరాచకం 🔥 🔥
688,"@bunnyannacult0 అవును అన్న, అన్నయ్యా డాన్స్ చూస్తే ఎదో తెలియకుండానే హాయిగా ఉంటుంది 😍","@bunnyannacult0 Ya bro , if you watch brother's dance 🤩 ther will be comfort unknowingly  😍",@bunnyannacult0 Ya bro అన్నయ్యా Dance చూస్తే 🤩 ఎడో తెలియని హాయిగా ఉంటుంది 😍
1137,@rowdypriyadhfm3 @urstrulyMahesh నువ్వు నువ్వు ఇచ్చావ్ గా సంతోషం  ☺ ☺,"@rowdypriyadhfm3 @urstrulyMahesh you gave reply, so happy ☺ ☺",@rowdypriyadhfm3 @urstrulyMahesh నువ్ rply ఇచ్చావ్ ga సంతోషం ☺ ☺
3377,ఇది పక్షపాత సమీక్షా? సినిమా జబర్దస్త్ లాగా ఉంది. ఎం మాట్లాడుతున్నారు,Is this a biased review? Movie is like  jabardast . What are you speaking,Is this a biased review ? Movie jabardast vundhi . ఎమ్ మాట్లాడుతున్నావ్
4825,"అవును సోదరా. అదే అనిపించింది, మామూలుగా బాగా చెప్పారు. మరియు వారు సరే అన్నారు.","Ya bro. felt the same, usually you say very good. But you said okay.","Ya bro . felt the same , usual gaa బాగా చెప్తారు . మరి , okay అనేసారు . "
4993,తెలుగు ఇండస్ట్రీ లెజెండ్స్‌లో రాజేంద్ర ప్రసాద్ ఒకరు,Rajendra Prasad is one of the legends of Telugu industry,Rajendra prasad is one of the legends of తెలుగు industry
2428,"@__salaar__ మీరు ప్రచారం చేస్తే, మీరు ఎవరిని చేరుకుంటారు? 🚶 🚶 చేరుకోవడం కూడా సాధ్యమే. మీరు ప్రమోట్ చేసినప్పుడు, మీకు పావల్ లాంటి ఫాలోవర్లు లభించరు 🙂","@__salaar__ If you promote, who will you reach? 🚶 🚶 Reach is also not possible. When you promote, you will not get followers 🙂",@__salaar__ Promote చెస్తే యెవడు డెక్కడు 🚶 🚶 Reach కుడా చేతగా ఉంటుంది promote చేసినప్పుడు నికు పావలా followers కుడా రారు 🙂
