L1,L2,CM_candidates,Rating-1,Rating-2
అయితే ఆ కాసేపటికే తల్లీ కూతుళ్లు ప్రాణాలు కోల్పోయారు .,"However , the children died soon after .","However , ఆ కాసేపటికే తల్లీ కూతుళ్లు ప్రాణాలు కోల్పోయారు .",5,4
ఈ ప్రాంతంలో ఎప్పుడు ప్రమాదాలు జరుగుతాయని స్థానికులు తెలిపారు .,Residents of the area said the area is prone to accidents .,the area ఎప్పుడు prone స్థానికులు తెలిపారు .,3,4
దాంతో వారు పోలీసులకు ఫిర్యాదు చేశారు,The victim then lodged a complaint with the police,దాంతో lodged ఫిర్యాదు చేశారు,3,4
దేవుడు ప్రాచీన ఇశ్రాయేలు జనాంగానికి ఇచ్చిన నియమాలు కూడా ఆయనకు జనాంగాలన్నింటిపట్ల శ్రద్ధ ఉందని చూపిస్తోంది .,The laws that God gave to the ancient nation of Israel also reveal that he cares for all nations .,The laws that దేవుడు gave to the ancient nation of Israel also,2,5
దాంతో లంక 34 పరుగులకే రెండు వికెట్లు కోల్పోయింది .,Sri Lanka had then gone down 34 for two .,Sri Lanka had then 34 పరుగులకే two కోల్పోయింది .,4,4
ఈ ఎన్నికల కోసం అన్ని పార్టీలు సిద్దమవుతున్నాయి .,All the parties are readying themselves for the upcoming elections .,ఈ ఎన్నికల కోసం అన్ని parties సిద్దమవుతున్నాయి .,5,4
"అయిననూ , ఓటర్లు రెండు పార్టీల యెుక్క మధ్యస్థులతో స్నేహపూర్వకంగా ఉంటారు .","Hence , both parties are better off than being in the spot market .",ఓటర్లు రెండు parties స్నేహపూర్వకంగా Hence స్నేహపూర్వకంగా ఉంటారు,2,4
"గేయ‌ , నాట‌క విభాగం క‌ళాకారులు వివిధ సాస్కృతిక కార్యక్రమాలతో అలరిచనున్నట్లు రీజిన‌ల్ అవుట్ రీచ్ బ్యూరో డైరెక్టర్ శ్రీ ఎమ్ . దేవేద్ర తెలిపారు .","Devendra , Artistes of Song Drama Division S DD will be performing cultural programmes at the venue .","Devendra , నాట‌క of Song Drama Division S DD will",1,2
అలాంటివేమీ నోట్ల లో ఉండవని తెలిపింది .,There is nothing on record like that .,nothing లో ఉండవని తెలిపింది .,2,3
టాలీవుడ్‌ సెన్సేషన్‌ విజయ్‌ దేవరకొండ తమ్ముడు ఆనంద్‌ దేవరకొండ హీరోగా వస్తోన్న సంగతి తెలిసిందే .,Vijay Deverakonda's brother Anand Deverakonda is all set to make his debut in Tollywood .,టాలీవుడ్‌ సెన్సేషన్‌ విజయ్‌ Anand తమ్ముడు brother దేవరకొండ హీరోగా Deverakonda సంగతి తెలిసిందే Tollywood,2,3
పంజాబ్ సీఎం కెప్టెన్ అమరీందర్ సింగ్ ట్రాక్టర్ ఎక్కి కూర్చున్నారు .,Punjab Congress President Captain Amarinder Singh .,పంజాబ్ Amarinder కూర్చున్నారు Captain అమరీందర్ Singh .,3,4
కొందరు ఘటనా స్థలిలోనే ప్రాణాలు విడిచారు మరికొందరు వివిధ ఆస్పత్రుల్లో తీవ్ర గాయాలతో చికిత్స పొందుతూ మరణించారు .,Several of the victims died on the spot while others succumbed to their injuries in hospitals .,కొందరు ఘటనా స్థలిలోనే victims విడిచారు మరికొందరు వివిధ ఆస్పత్రుల్లో injuries పొందుతూ మరణించారు .,5,4
"అయితే , ఇవి రెండు విరుద్ధ పదాలు కావు .",But the two are not opposite .,But the two విరుద్ధ పదాలు కావు .,4,4
ఈ పొడిగింత యొక్క ప్రస్తుత వర్షన్,The current version of this add-on,The version of this పొడిగింత,1,3
ఈ సమావేశానికి వై . ఎస్ . ఆర్ కాంగ్రెస్ పార్టీ అధ్యక్షుడు వై .,YSR Congress party president Y . S .,ఆర్ Congress పార్టీ అధ్యక్షుడు Y . S .,2,4
తాజాగా అనుష్క ఇండియన్ ఉమెన్ సీనియర్ క్రికెటర్ జులన్ గోస్వామి బయోపిక్‌గా తెరకెక్కబోతున్న 'చక్దాహా ఎక్స్‌ప్రెస్' అనే సినిమాలో నటించనుంది .,"Anushka will be next seen in the biopic of Jhulan Goswami , former Indian captain of women's cricket team .",తాజాగా Anushka ఇండియన్ women క్రికెటర్ Jhulan గోస్వామి biopic అనే సినిమాలో నటించనుంది team,3,4
పెనుగాలుల ధాటికి మూడు దుకాణాలు ధ్వంసమయ్యాయి .,Three shops were destroyed in the fire .,ధాటికి Three దుకాణాలు ధ్వంసమయ్యాయి .,4,4
అయితే బాధితురాలి పరిస్ధితి విషమంగా ఉందని వైద్యులు తెలిపారు .,Doctors said the condition of the woman was critical .,the పరిస్ధితి విషమంగా ఉందని Doctors తెలిపారు .,4,4
మీరు శ్రద్ద ఉండాలని కొన్ని పాయింట్లు ఉన్నాయి .,There are a few things you should take note of .,మీరు should take కొన్ని things ఉన్నాయి .,4,3
"కాబట్టి , మరో మాటలో చెప్పాలంటే , ప్రమాద అంచనాను కూడా ప్రభావం అంచనా లేదా పర్యావరణ ప్రభావ అంచనా లేదా ఆరోగ్య ప్రభావ అంచనా అని పిలుస్తారు .","So , in other words , risk assessment is also known as impact assessment or environmental impact assessment or health impact assessment .","So , మరో మాటలో చెప్పాలంటే , risk assessment కూడా impact assessment or పర్యావరణ or అని పిలుస్తారు",3,4
యూదయకు చెందిన రోమా అధిపతులు కూడా అదే పద్ధతిని అనుసరించారు .,Roman governors followed a similar practice .,రోమా అధిపతులు followed a కూడా అదే practice .,3,2
భారీ బడ్జెట్‌తో తెరకెక్కించే ఈ సినిమా ఎక్కువ శాతం షూటింగ్ ముంబైలోనే జరగనున్నది .,Most of the film is shot in Mumbai .,ఎక్కువ శాతం of the film is shot in Mumbai .,5,5
రాష్ట్ర విభజన తర్వాత పరిస్థితిలో మార్పు వచ్చింది .,The situation changed after independence .,The పరిస్థితిలో changed after independence .,4,4
ఈ ఘటనలో మరో మహిళ తీవ్రంగా గాయపడింది .,Another woman was also injured in the incident .,Another woman was also తీవ్రంగా in the,2,4
‘ శ్రీలంకలో దాడి జరిగిందని విని చాల బాధ పడ్డాను .,"""Devastated to hear about the attacks in Srilanka . ",‘ శ్రీలంకలో దాడి బాధ పడ్డాను విని చాల బాధ పడ్డాను attacks,1,4
కేంద్ర ప్రభుత్వంపై తీవ్రమైన ఒత్తిడి వచ్చింది .,There was pressure on the Central government .,There was pressure on the కేంద్ర,4,3
ఇప్పటికే ఈ సినిమా అడ్వాన్స్ బుకింగ్స్ భారీగా జరిగింది .,The advance bookings for the film have been happening on a large scale .,ఇప్పటికే the సినిమా అడ్వాన్స్ బుకింగ్స్ భారీగా జరిగింది .,5,3
ఫోటోగ్రఫీ పై ఆసక్తి ఉన్న పర్యాటకులు ఈ ప్రాంతంలోని దృశ్యాల చక్కటి కొన్ని ఫోటోలను పొందవచ్చు,Travellers harbouring a passion for photography are bound to get some of the best shots from here,ఫోటోగ్రఫీ ఆసక్తి ఉన్న Travellers ఈ ప్రాంతంలోని దృశ్యాల చక్కటి కొన్ని ఫోటోలను పొందవచ్చు,5,4
“ యెహోవాకు భూమి మీద సంతోషంగల ప్రజలున్నారు .,"Although the temperature was over 95 degrees Fahrenheit [35 C] , about 2 , 500 Witnesses took part .",“ యెహోవాకు temperature మీద సంతోషంగల ప్రజలున్నారు .,4,4
వివిధ దేశాల ప్రతినిధుల ను ఈ చరిత్రాత్మక పట్టణాని కి నేను ఆహ్వానిస్తున్నాను .,I welcome the delegates from different countries to this historic town .,వివిధ countries ప్రతినిధుల ను ఈ చరిత్రాత్మక town నేను ఆహ్వానిస్తున్నాను .,4,3
"ఘ‌ట‌నాస్థ‌లికి చేరుకున్న అగ్నిమాప‌క సిబ్బంది మంట‌ల‌ను అదుపు చేసింది , .",Firefighters reached the spot and detained the fire .,"ఘ‌ట‌నాస్థ‌లికి చేరుకున్న Firefighters , .",5,4
"20 లక్షలు , పట్టణ ప్రాంతాల్లో రూ .",20 lakh in plains and Rs .,"20 లక్షలు , plains ప్రాంతాల్లో రూ .",3,4
దిల్ రాజు నిర్మాణంలో ఈ చిత్రం రూపొందుతోంది .,The film is being produced by Dil Raju .,దిల్ రాజు నిర్మాణంలో ఈ film రూపొందుతోంది .,5,4
అతన్ని ఆసుపత్రికి తరలించిన కొద్దిసేపటికే చికిత్స పొందుతూ చనిపోయాడు .,He died soon after being taken to hospital .,He died soon after being అతన్ని to hospital,3,3
వైఎస్సార్‌సీపీ కార్యకర్తల మీద దాడులు చేసిన టీడీపీ నాయకులు మీద పోలీసులు ఎలాంటి కేసులు పెట్టలేదని అన్నారు,He pointed out that the police had not filed a single case against TDP leaders who assaulted YSRCP workers,వైఎస్సార్‌సీపీ workers మీద దాడులు చేసిన TDP leaders పోలీసులు ఎలాంటి కేసులు పెట్టలేదని అన్నారు,5,4
గవర్నర్ పై సీఎం తీవ్ర నిరసన,CM hits out at Governor,Governor నిరసన CM,5,4
"కానీ , ఆ సినిమాకి అయిన బడ్జెట్‌ చాలా ఎక్కువ .",But the film is much more than that .,కానీ the film is much more than that .,5,5
వాటిని ఈ వీడియోలో మీరూ చూడండి,Check them out in this video .,వాటిని in this వీడియోలో మీరూ చూడండి,5,4
తర్వాత తేరుకున్న ఆయన తన భార్యను కిడ్నాప్ చేశారని వాపోయాడు .,Then he confessed to have murdered his wife .,తర్వాత తేరుకున్న ఆయన have murdered his wife .,5,3
"అల్లం , పచ్చిమిర్చి , వెల్లుల్లి రెబ్బలను మిక్సీలో వేసి మెత్తగా చేయాలి","Stir in green chillies , ginger and onions and give it a good mix .","అల్లం , పచ్చిమిర్చి , వెల్లుల్లి రెబ్బలను మిక్సీలో and",1,4
కానీ ఆమె ప్రయాణం అంత సులభంగా సాగిపోలేదు .,But her journey wasn't easy .,But her journey was సులభంగా easy,2,2
అమెరికాలో కరోనా వైరస్ సోకిన వారి సంఖ్య 4 లక్షల మార్క్ దాటింది,"Coronavirus: Death toll crosses 16 , 000 in US , infected cases surge past 4 , 60 , 000",అమెరికాలో కరోనా వైరస్ సోకిన వారి సంఖ్య past లక్షల మార్క్ toll,3,3
ప్రముఖ బాలీవుడ్ నటుడు సునీల్ శెట్టి తనయుడు ఆహాన్ శెట్టి ఈ సినిమా తో హీరోగా పరిచయం కానున్నాడు .,Actor Suniel Shettys son Ahan is the next star kid to make his Bollywood debut .,ప్రముఖ Bollywood నటుడు Suniel శెట్టి తనయుడు Ahan తో next కానున్నాడు .,3,4
దీంతో అతనికి మ్యాన్ ఆఫ్ ద మ్యాచ్ అవార్డు లభించింది .,He was given man of the match award .,దీంతో అతనికి man ఆఫ్ the match అవార్డు లభించింది .,5,5
13 రోజుల క్రితం ఆత్మహత్యకు పాల్పడిన బాలీవుడ్ నటుడు సుశాంత్ సింగ్ రాజ్‌పుత్ కుటుంబం అంతటి విషాదాన్నుంచి ఇపుడిపుడే కోలుకుంటోంది,Bollywood star Sushant Singh Rajput lives on even after his tragic death,బాలీవుడ్ నటుడు Sushant సింగ్ Rajput lives on even after his,3,4
స్థానికులు ఇచ్చిన స‌మాచారం మేర‌కు వెంట‌నే ఘ‌ట‌నా ప్రాంతానికి చేరుకున్నారు .,Police immediately reached the spot after being informed by the locals .,Police వెంట‌నే reached the spot after being informed by the,3,5
ఒక పాట మినహా సినిమా పూర్తయ్యింది .,The film's shooting is all but completed except for a song .,ఒక పాట మినహా సినిమా పూర్తయ్యింది song,3,4
ఈనేపథ్యంలోనే ఏపిలోని రాష్ట్ర్రవ్యాప్తంగా 45 డిగ్రీల కంటే ఎక్కువ ఉష్ణోగ్రత నమోదైంది .,The temperature in many parts of the State has crossed 45 degrees .,ఈనేపథ్యంలోనే parts రాష్ట్ర్రవ్యాప్తంగా 45 degrees ఎక్కువ temperature నమోదైంది .,3,4
గౌరవనీయులారా ! ప్రస్తుతం ఉన్న అంతర్జాతీయ విధానంలో ఉన్న పరిమితులను కోవిడ్-19 మాకు తెలియజేసింది .,"Excellencies , COVID-19 has shown us the limitations of the existing international system .",గౌరవనీయులారా of the existing అంతర్జాతీయ system పరిమితులను COVID-19 మాకు తెలియజేసింది .,3,4
ఎందుకంటే ఇండియన్ ఎయిర్ ఫోర్స్ బలంగా ఉండటం కాంగ్రెస్ పార్టీకి ఇష్టం లేదని చెప్పారు .,Congress party does not want the Indian Air Force to be strong .,కాంగ్రెస్ పార్టీకి does not want ఇండియన్ ఎయిర్ ఫోర్స్ to be strong .,3,3
"న్యూజిలాండ్‌ , శ్రీలంక , జపాన్‌తో కలిసి భారత్‌ గ్రూప్‌-డిలో ఉంది .","India are placed in Group A alongside Japan , New Zealand and Sri Lanka .","న్యూజిలాండ్‌ , శ్రీలంక , జపాన్‌తో కలిసి India గ్రూప్‌-డిలో ఉంది .",5,5
ఆ తర్వాత వరుసగా 106 టెస్టు మ్యాచ్ లు ఆడి రికార్డు సృష్టించడానికి ఆ టెస్ట్ ప్రారంభ వేదికగా నిల్చింది .,It eventually fell to an overworked 61 Mechanised to complete the objective .,It eventually fell to an నిల్చింది to,1,2
జనసేన అధినేత పవన్ కళ్యాణ్ కి మద్దతు పెరుగుతోంది .,Jana Sena Party chief Pawan Kalyan .,Jana Sena Party chief కి Kalyan .,1,5
విలీనానంతరం మరింతగా ఆర్థిక బలోపేతం అవుతుందని ఆర్థిక సేవల కార్యదర్శి రాజీవ్ కుమార్ చెప్పారు .,"While announcing the merger , Financial Services Secretary Rajiv Kumar had said the merged entity will have better financial strength .",the మరింతగా financial బలోపేతం అవుతుందని Services Secretary రాజీవ్ కుమార్ చెప్పారు .,3,4
వీరిలో 513 పాజిటివ్‌ కేసులు ఉన్నాయి,Currently there are 523 active cases in the state,ఉన్నాయి 523 active పాజిటివ్‌ కేసులు,3,5
నికర లాభంలో 72 శాతం వృద్ధి నమోదైనట్లు కంపెనీ వర్గాలు వెల్లడించాయి .,"Operating profit increased by 72 per cent , it added .","నికర లాభంలో 72 శాతం వృద్ధి , it added",4,4
కాంగ్రెస్ ఎమ్మెల్యే ఇంటి వద్ద బాంబు పేలుడు…,Congress MLA's house set on fire,Congress MLA ఇంటి,1,5
సీసీ ఫుటేజీ ఆధారంగా పోలీసులు విచారణ వేగవంతం చేశారు,The police nabbed the accused on the basis of the CCTV footage,సీసీ footage ఆధారంగా పోలీసులు విచారణ వేగవంతం చేశారు,5,4
ఈ పథకంలో 5 సంవత్సరాల పాటు నిర్వహణ ఖర్చులు సహా దాదాపుగా రూ .,The project outlay is approximately Rs . 12 Crore over the 5 years,ఈ పథకంలో 5 సంవత్సరాల పాటు outlay సహా దాదాపుగా రూ .,2,4
మరోవైపు ఉల్లి ధర కూడా పెరుగుతూ వస్తోంది .,The price of onions is also on the rise .,మరోవైపు ఉల్లి ధర కూడా rise .,3,5
"2 , 000 కోట్ల విలువైన మీడియా కన్వర్జెన్స్ నోడ్స్ ఆస్తులను రిలయన్స్ జియోకు విక్రయించింది .","Reliance Communications Sells Rs 2 , 000 Crore-Assets To Reliance Jio","2 , 000 కోట్ల విలువైన Crore-Assets ఆస్తులను రిలయన్స్ Jio విక్రయించింది",2,4
14కు పెరిగిన స్వైన్ ఫ్లూ మృతులు,India's Swine Flu death toll rises to 14,14కు India 's ఫ్లూ Flu death toll,3,4
తెలంగాణ రాష్ట్రంలోని నిజామాబాద్ లోక్‌సభ నియోజకవర్గానికి బ్యాలెట్ పద్దతిలో ఎన్నికలు నిర్వహిస్తామని ఎన్నికల ప్రధాన అధికారి రజత్ కుమార్ ప్రకటించారు .,Telangana Chief Electoral Officer Rajat Kumar said the polling process is going peacefully across the state .,తెలంగాణ రాష్ట్రంలోని polling పద్దతిలో peacefully రజత్ Officer రజత్ కుమార్ ప్రకటించారు .,3,4
మరి ఫలితం ఎలా అందుకుంటుందో చూడాలి .,We will have to see what the results are .,మరి the ఎలా అందుకుంటుందో చూడాలి .,2,5
మ్యూచువల్ ఫండ్ పథకాల్లో చేసిన పెట్టుబడులు ఏకంగా రూ .,Investment in multiples of Rs .,మ్యూచువల్ ఫండ్ పథకాల్లో ఏకంగా Investment ఏకంగా రూ,2,4
ఇనుక్సు ప్రధాన కార్యాలయం పూణెలో ఉంది,The Command is headquartered in Pune,is headquartered పూణెలో,2,5
ఎ పేతురు ఎలాంటి పొరపాట్లు చేశాడు ?,a How did the apostle Peter fail to keep his word ?,ఎ పేతురు word పొరపాట్లు చేశాడు ?,1,5
దీన్ని ప్రజలు సద్వినియోగం చేసుకోవాలని సూచించారు .,People should take advantage of this .,ప్రజలు should take advantage of this .,5,4
కరోనా వైరస్ కారణంగా దేశం మొత్తం లాక్‌డౌన్‌లో ఉండటంతో ప్రతి ఒక్కరూ ఇంటికే పరిమితమయ్యారు .,Due to lockdown across the country everyone is at home because of the fear of coronavirus .,Due to lockdown across the ప్రతి ఒక్కరూ is at home because,3,3
"ఇలా ఆయనను ఎన్నో అవార్డులు , రివార్డులు వరించాయి .",Many awards and accolades came his way .,"ఆయనను Many అవార్డులు , రివార్డులు way .",2,2
తాజాగా ఈ సినిమా పోస్టర్ ను చిత్రబృందం విడుదల చేసింది .,The poster for the film was released recently .,recently ఈ సినిమా పోస్టర్ ను చిత్రబృందం విడుదల చేసింది .,5,4
అభివృద్ధి పనులు కొనసాగాలంటే మళ్లీ టీఆర్ఎస్సే అధికారంలోకి రావాలని ఆయన అభిప్రాయ పడ్డారు .,"If the development of the State should to continue , he said , TRS should continue in power .","అభివృద్ధి పనులు should to continue , TRS అధికారంలోకి రావాలని ఆయన said",3,3
ఈ ఘటన ఉత్తరప్రదేశ్‌లో చోటు చేసుకుంది .,The incident took place in Uttar Pradesh .,ఈ incident took place in Uttar Pradesh .,5,5
అనిల్ రావిపూడి డైరెక్షన్లో రష్మిక హీరోయిన్ గా తెరకెక్కుస్తున్న ఈ చిత్ర షూటింగ్ శరవేగంగా జరుగుతుంది .,"Directed by Anil Ravipudi , Rashmika is seen as the female lead in the film .","అనిల్ రావిపూడి డైరెక్షన్లో , రష్మిక as the female lead film జరుగుతుంది",5,4
ఇక్కడ కేంద్ర మాజీ మంతత్రి అరుణ్ యాదవ్ కాంగ్రెస్ అభ్యర్థిగా పోటీ చేస్తున్నారు .,"He is pitted against Congress candidate Arun Yadav , a former minister .","He is మంతత్రి against కాంగ్రెస్ candidate అరుణ్ Yadav ,",3,3
ఛోటా రాజన్: తీహార్ జైల్లో సాయుధ బలగాలు,The Chhota Rajan nightmare at Tihar Jail,The Chhota Rajan సాయుధ at Tihar Jail,2,4
కాంగ్రెస్ పార్టీ ముఖ్యనేతలు గులాం నబీ ఆజాద్ కూడ పోన్ చేశారు .,Congress leader Ghulam Nabi Azad also paid tribute to him .,కాంగ్రెస్ పార్టీ ముఖ్యనేతలు గులాం నబీ ఆజాద్ కూడ పోన్ paid tribute to him,3,4
‘దేశంలో ప్రతిచోట నేడు అబద్ధం వ్యాప్తి చెందుతోంది .,Today the situation in the country is such that falsehood is being spread everywhere .,‘దేశంలో ప్రతిచోట Today అబద్ధం వ్యాప్తి చెందుతోంది .,4,4
నల్లబాడ్జీలు ధరించిన రైతులు ప్రభుత్వ వ్యతిరేక నినాదాలు చేశారు .,The farmers raised slogan against the Union Government .,The farmers raised slogan against the నల్లబాడ్జీలు Government,2,4
వారికి పకడ్బందీగా వైద్య పర్యవేక్షణను కూడా ఏర్పాటు చేశారు .,A medical checkup was also conducted for them .,వారికి పకడ్బందీగా వైద్య పర్యవేక్షణను also ఏర్పాటు చేశారు .,5,4
నెట్వర్కు నిర్వాహకి సరికూర్పరి సౌలభ్యమునకు . desktop దస్త్రము,sktop file for the Network Manager editor utility,నెట్వర్కు నిర్వాహకి editor సౌలభ్యమునకు desktop దస్త్రము,1,4
అయితే ఆయన అభ్యర్థనను హైకోర్టు తిరస్కరించింది .,"However , the High Court dismissed his petition .",అయితే his అభ్యర్థనను హైకోర్టు తిరస్కరించింది .,5,4
పవిత్ర మౌని అమావాస్య సందర్భంగా అలహాబాద్‌లోని మహా కుంభమేళాలో గంగానదిలో పుణ్య స్నానాలు ఆచరిస్తున్న భక్తులు .,Devotees take holy dip in the Ganges during the Maha Kumbh Mela in Allahabad,holy అమావాస్య Allahabad మహా కుంభమేళాలో గంగానదిలో పుణ్య స్నానాలు ఆచరిస్తున్న భక్తులు,3,4
కంటైన్మెంట్ జోన్ల వెలుపల అన్ని కార్యకలాపాలకూ అనుమతిచ్చింది .,All activities will be permitted outside Containment Zones .,All కార్యకలాపాలకూ will be అనుమతిచ్చింది,1,4
అభిమానులు సచిన్‌ను క్రికెట్ దేవుడిగా కొలుస్తారు .,"Termed as the 'God of Cricket' , Sachin has millions of fans .",అభిమానులు సచిన్‌ను క్రికెట్ దేవుడిగా fans,3,4
"ఈసారి కూడా అలాగే అన్ని ఓడలని , అందులోని సిబ్బందిని సురక్షితంగా స్వదేశానికి తిరిగి తీసుకురావాలి .","Eventually , the entire group return safely to earth .","Eventually , the entire group return సురక్షితంగా to",2,4
మహారాష్ట్ర ప్రాంతీయ మరియు పట్టణ ప్రణాళిక చట్టం,the Maharashtra Regional & Town Planning Act,Maharashtra ప్రాంతీయ మరియు పట్టణ ప్రణాళిక Act,5,4
విమానాశ్రయ వ్యాపారాన్ని రెండుగా విభజించనున్న జీఎంఆర్‌ ఇన్‌ఫ్రా,GMR Infra settles row with investors in airport business,జీఎంఆర్‌ Infra settles row airport వ్యాపారాన్ని,5,4
మ్యాన్ ఆఫ్ ది మ్యాచ్ మ్యాట్ హెన్రీకి దక్కింది .,Matt Henry is awarded Man of the Match .,మ్యాట్ హెన్రీకి awarded Man of the Match .,4,5
రెండవమారు ఆ శబ్దము ఆకాశము నుండిదేవుడు పవిత్రము చేసినవి నీవు నిషిద్ధమైనవిగా ఎంచవద్దని ఉత్తరమిచ్చెను .,"But a voice answered me the second time out of heaven , 'What God has cleansed , don't you call unclean . '",second ఆ శబ్దము ఆకాశము నుండిదేవుడు పవిత్రము చేసినవి n't ఎంచవద్దని ఉత్తరమిచ్చెను .,1,4
"అలాగే ఆగ్రాను , ముంబైని కూడా సందర్శించారు .",He also visited Bangalore and Mumbai .,He ఆగ్రాను and ముంబైని కూడా సందర్శించారు .,4,4
"ఆ తరువాతి స్థానంలో ప్రైవేటు బ్యాంకులు , విదేశీ బ్యాంకులు ఉన్నాయి .",They were followed by private sector banks and foreign banks .,They ఆ followed by ప్రైవేటు బ్యాంకులు and విదేశీ,2,4
ఈ మ్యాచ్‌లో టాస్ గెలిచిన టీమిండియా తాత్కాలిక కెప్టెన్ రోహిత్ శర్మ బ్యాటింగ్ ఎంచుకున్నాడు .,India captain Rohit Sharma won the toss and opted to field .,won the toss కెప్టెన్ Rohit కెప్టెన్ రోహిత్ Sharma బ్యాటింగ్ ఎంచుకున్నాడు,3,4
"ఆ విషయాలను రొమ్ము ఏర్పాటు దీనిలో విటమిన్లు , ఖనిజాలు , కొవ్వులు , పిండిపదార్ధాలు మరియు ప్రోటీన్ల అవసరమైన మొత్తాన్ని ఉంది సమతుల్య ఆహారం తప్పక , మెరుగు ఉంది .","A well-balanced diet is one that contains enough proteins , fats , carbohydrates , vitamins and minerals .","ఉంది ఆ విషయాలను contains enough proteins , fats , carbohydrates , vitamins and సమతుల్య ఆహారం తప్పక .",1,2
వారికి చిత్తశుద్ధి లేదు . మాకుంది . ' అనే నినాదంతో బయలుదేరుతుంది .,"They don't have an intention"" . ",`` They do అనే,1,2
కొద్దిమంది అతిథులు మాత్రమే వీరి పెళ్లికి పిలవడం జరిగింది .,The couple had invited just a few guests for the marriage .,కొద్దిమంది అతిథులు మాత్రమే marriage పిలవడం జరిగింది .,4,4
అసోం పౌరుల జాబితాలో 40 లక్షల మంది పేర్లు లేకపోవడంపై మండిపడ్డారు .,40 lakh people in Assam have been left out of draft National Register of Citizens list .,40 లక్షల people in Assam have been left out,5,5
"భూమయ్యకు భార్య అరుణ , ముగ్గురు కుమార్తెలు ఉన్నారు .",He has a wife and three children .,wife and ముగ్గురు children,4,4
"ఆ సందర్భంలో , గిలియడ్‌ మిషనరీ స్కూలు పట్టభద్రుడైన స్తిఫాన్‌ బెహూనిక్‌ నాకు చాలా సహాయం చేశారు , ఆయనకు నా ధన్యవాదాలు .","Thankfully , on that occasion I received much help from Stefan Behunick , a graduate of the missionary school of Gilead .","Thankfully , on ఆ సందర్భంలో I received చాలా help from a graduate స్తిఫాన్‌ బెహూనిక్‌",5,3
"తన విశ్వాసులైన సేవకులతో వ్యవహరించేటప్పుడు , దయ చూపడంలో యెహోవా అత్యంత గొప్ప మాదిరి .",Jehovah is the finest example of graciousness in dealing with his faithful servants .,graciousness in dealing with తన విశ్వాసులైన సేవకులతో చూపడంలో యెహోవా అత్యంత గొప్ప మాదిరి .,3,4
ప్రతీ ఒక్కరి లైఫ్‌లో సెక్స్ అనేది చాలా కీలకం .,Sex is an important aspect of everyone's life .,everyone లైఫ్‌లో సెక్స్ అనేది చాలా కీలకం life,3,4
వీరి ముగ్గురి మధ్య తీవ్రమైన పోటీ నెలకొని ఉంది .,There is tough competition among all of them .,వీరి ముగ్గురి మధ్య తీవ్రమైన competition నెలకొని ఉంది .,5,4
కానీ సదరు యువతి ఫోన్‌ చేయలేదు .,But the girl didnt stay put .,కానీ the యువతి ఫోన్‌ చేయలేదు .,4,4
"ఆంతరంగిక అందం , 11 / 15",Are You a Full - Grown Christian ? 8 / 15,"Grown అందం , 11 / 15",1,4
దాని వల్ల కూడా సమస్య పరిష్కారం కాలేదు .,That issue has not been resolved .,దాని వల్ల సమస్య has not been resolved .,5,4
"అత్యధికంగా టెలికాం , బ్యాంకింగ్ సూచీలు దెబ్బతిన్నాయి .",Banks and telecom companies are the worst impacted .,"worst టెలికాం , బ్యాంకింగ్ impacted .",3,5
ఆర్టికల్ 370 రద్దు తర్వాత జమ్మూకశ్మీర్ ప్రశాంతం,The situation in Jammu and Kashmir is peaceful after the abrogation of Article 370 .,Article 370 రద్దు తర్వాత జమ్మూకశ్మీర్ ప్రశాంతం,3,4
దీంతో కోర్టు అతనికి శిక్ష విధించింది .,The court sentenced him to death .,దీంతో court అతనికి శిక్ష విధించింది .,5,4
సమాజానికి తనవంతుగా ఏదో ఒకటి చేయాలనే తలంపు ఆయనది .,He wants to do something useful to society .,సమాజానికి something చేయాలనే తలంపు ఆయనది .,5,4
"ప్రారంభంలో , ప్రాన్ ఐలాండ్ 3 భవనాలను కలిగిఉంది .",Welton Elementary had three buildings .,ప్రారంభంలో ప్రాన్ ఐలాండ్ 3 buildings .,3,3
త్వరలో ఈ సినిమాకి సెట్స్ పైకి వెళుతుంది .,The movie will soon go into production .,త్వరలో ఈ movie go into production .,5,3
భారతదేశంలో మైనార్టీలకు వచ్చిన ఇబ్బందేమీ లేదన్నారు .,There are no minorities in India .,భారతదేశంలో minorities ఇబ్బందేమీ లేదన్నారు .,4,5
[ 7వ పేజీలోని బాక్సు / చిత్రం],"chapter 7 , published by Jehovahs Witnesses . [ Box / Picture on page 7]",పేజీలోని 7 పేజీలోని Box / చిత్రం],2,4
2019 ఎన్నికల సమయానికి ముందు నుంచి కేవలం .,"So far , 2019 has seen only . . .",ముందు seen నుంచి only .,1,5
"ఈ సందర్భంలో , అటువంటి పరిస్థితి చాలా ప్రమాదకరం .",This situation is extremely dangerous .,ఈ అటువంటి పరిస్థితి అటువంటి పరిస్థితి extremely dangerous,3,4
శ్రీలంకతో జరిగిన టీ20 సిరీస్‌కు విశ్రాంతి తీసుకున్న రోహిత్‌ శర్మ తిరిగి జట్టులోకి వచ్చాడు .,Rohit Sharma made a comeback into the Indian squad after being rested from the T20I home series against Sri Lanka .,శ్రీలంకతో జరిగిన టీ20 సిరీస్‌కు విశ్రాంతి తీసుకున్న రోహిత్‌ Sharma తిరిగి squad వచ్చాడు .,4,4
